Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
16:49:57 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
04/16/2022 04H,77057
04/16/2022 03H,80063
04/16/2022 02H,82602
04/16/2022 01H,80810
04/16/2022 00H,79705
04/15/2022 23H,80206
04/15/2022 22H,80306
04/15/2022 21H,77687
04/15/2022 20H,78322
04/15/2022 19H,78007
04/15/2022 18H,77655
04/15/2022 17H,77719
04/15/2022 16H,76701
04/15/2022 15H,76712
04/15/2022 14H,76695
04/15/2022 13H,75563
04/15/2022 12H,73902
04/15/2022 11H,72695
04/15/2022 10H,68832
04/15/2022 09H,66688
04/15/2022 08H,66534
04/15/2022 07H,67562
04/15/2022 06H,69871
04/15/2022 05H,74111
04/15/2022 04H,77328
04/15/2022 03H,79693
04/15/2022 02H,81730
04/15/2022 01H,79064
04/15/2022 00H,76431
04/14/2022 23H,75883
04/14/2022 22H,76396
04/14/2022 21H,76663
04/14/2022 20H,75754
04/14/2022 19H,76749
04/14/2022 18H,76883
04/14/2022 17H,77299
04/14/2022 16H,77049
04/14/2022 15H,78793
04/14/2022 14H,80994
04/14/2022 13H,81179
04/14/2022 12H,79483
04/14/2022 11H,75034
04/14/2022 10H,71735
04/14/2022 09H,71376
04/14/2022 08H,72320
04/14/2022 07H,73640
04/14/2022 06H,77008
04/14/2022 05H,79877
04/14/2022 04H,82004
04/14/2022 03H,83916
04/14/2022 02H,84240
04/14/2022 01H,82103
04/14/2022 00H,82070
04/13/2022 23H,81888
04/13/2022 22H,81417
04/13/2022 21H,80738
04/13/2022 20H,80619
04/13/2022 19H,80113
04/13/2022 18H,78961
04/13/2022 17H,79067
04/13/2022 16H,79010
04/13/2022 15H,79186
04/13/2022 14H,79247
04/13/2022 13H,77875
04/13/2022 12H,76377
04/13/2022 11H,73597
04/13/2022 10H,69948
04/13/2022 09H,66688
04/13/2022 08H,66067
04/13/2022 07H,67894
04/13/2022 06H,70080
04/13/2022 05H,73048
04/13/2022 04H,78661
04/13/2022 03H,80952
04/13/2022 02H,81861
04/13/2022 01H,81703
04/13/2022 00H,81052
04/12/2022 23H,79719
04/12/2022 22H,79114
04/12/2022 21H,78635
04/12/2022 20H,77950
04/12/2022 19H,77831
04/12/2022 18H,76567
04/12/2022 17H,76353
04/12/2022 16H,76277
04/12/2022 15H,76080
04/12/2022 14H,76122
04/12/2022 13H,77275
04/12/2022 12H,76280
04/12/2022 11H,73595
04/12/2022 10H,71511
04/12/2022 09H,69252
04/12/2022 08H,69398
04/12/2022 07H,70421
