Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
17:18:27 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
04/16/2022 04H,64560
04/16/2022 03H,60373
04/16/2022 02H,59350
04/16/2022 01H,60049
04/16/2022 00H,61919
04/15/2022 23H,61176
04/15/2022 22H,60517
04/15/2022 21H,58584
04/15/2022 20H,57557
04/15/2022 19H,57808
04/15/2022 18H,61057
04/15/2022 17H,65091
04/15/2022 16H,67861
04/15/2022 15H,67301
04/15/2022 14H,68904
04/15/2022 13H,68434
04/15/2022 12H,67977
04/15/2022 11H,69503
04/15/2022 10H,70645
04/15/2022 09H,73079
04/15/2022 08H,72264
04/15/2022 07H,72371
04/15/2022 06H,72374
04/15/2022 05H,71827
04/15/2022 04H,75133
04/15/2022 03H,75631
04/15/2022 02H,75501
04/15/2022 01H,76347
04/15/2022 00H,78310
04/14/2022 23H,78288
04/14/2022 22H,76049
04/14/2022 21H,73263
04/14/2022 20H,70653
04/14/2022 19H,69392
04/14/2022 18H,67531
04/14/2022 17H,65545
04/14/2022 16H,61853
04/14/2022 15H,58174
04/14/2022 14H,57919
04/14/2022 13H,62262
04/14/2022 12H,62443
04/14/2022 11H,62136
04/14/2022 10H,60250
04/14/2022 09H,57209
04/14/2022 08H,55208
04/14/2022 07H,52551
04/14/2022 06H,50375
04/14/2022 05H,50961
04/14/2022 04H,50672
04/14/2022 03H,50497
04/14/2022 02H,50451
04/14/2022 01H,55432
04/14/2022 00H,61334
04/13/2022 23H,66061
04/13/2022 22H,66026
04/13/2022 21H,67873
04/13/2022 20H,71625
04/13/2022 19H,72157
04/13/2022 18H,72245
04/13/2022 17H,70636
04/13/2022 16H,69412
04/13/2022 15H,71359
04/13/2022 14H,72588
04/13/2022 13H,75463
04/13/2022 12H,75445
04/13/2022 11H,73179
04/13/2022 10H,74611
04/13/2022 09H,75746
04/13/2022 08H,76357
04/13/2022 07H,77083
04/13/2022 06H,77614
04/13/2022 05H,77746
04/13/2022 04H,73944
04/13/2022 03H,83397
04/13/2022 02H,84477
04/13/2022 01H,83228
04/13/2022 00H,82382
04/12/2022 23H,82642
04/12/2022 22H,81409
04/12/2022 21H,80216
04/12/2022 20H,78498
04/12/2022 19H,77731
04/12/2022 18H,77055
04/12/2022 17H,76511
04/12/2022 16H,76755
04/12/2022 15H,76625
04/12/2022 14H,78094
04/12/2022 13H,78725
04/12/2022 12H,77751
04/12/2022 11H,74620
04/12/2022 10H,71989
04/12/2022 09H,70263
04/12/2022 08H,70379
04/12/2022 07H,68547
04/12/2022 06H,68721
04/12/2022 05H,66512
04/12/2022 04H,68447
04/12/2022 03H,56949
04/12/2022 02H,48563
04/12/2022 01H,43415
04/12/2022 00H,42944
04/11/2022 23H,43347
04/11/2022 22H,43758
04/11/2022 21H,44227
04/11/2022 20H,45230
04/11/2022 19H,45169
04/11/2022 18H,44096
04/11/2022 17H,43054
04/11/2022 16H,42510
04/11/2022 15H,44345
04/11/2022 14H,49443
04/11/2022 13H,57916
04/11/2022 12H,62446
04/11/2022 11H,65484
04/11/2022 10H,70115
04/11/2022 09H,72255
04/11/2022 08H,71192
04/11/2022 07H,71618
04/11/2022 06H,71351
04/11/2022 05H,70587
04/11/2022 04H,67432
04/11/2022 03H,73606
04/11/2022 02H,72620
04/11/2022 01H,69816
04/11/2022 00H,69637
04/10/2022 23H,68643
04/10/2022 22H,68900
04/10/2022 21H,67302
04/10/2022 20H,66148
04/10/2022 19H,69584
04/10/2022 18H,72777
04/10/2022 17H,76496
04/10/2022 16H,77320
04/10/2022 15H,78170
04/10/2022 14H,78862
04/10/2022 13H,78024
04/10/2022 12H,77195
04/10/2022 11H,77408
04/10/2022 10H,75213
04/10/2022 09H,74877
04/10/2022 08H,76145
04/10/2022 07H,77881
04/10/2022 06H,78825
04/10/2022 05H,78992
04/10/2022 04H,80875
04/10/2022 03H,79299
04/10/2022 02H,76565
04/10/2022 01H,73619
04/10/2022 00H,74645
04/9/2022 23H,75450
04/9/2022 22H,75163
04/9/2022 21H,74145
04/9/2022 20H,72582
04/9/2022 19H,71054
04/9/2022 18H,71064
04/9/2022 17H,70466
04/9/2022 16H,66868
04/9/2022 15H,63143
04/9/2022 14H,64081
04/9/2022 13H,65943
04/9/2022 12H,66266
04/9/2022 11H,63965
04/9/2022 10H,62887
04/9/2022 09H,59640
04/9/2022 08H,54894
04/9/2022 07H,52382
04/9/2022 06H,49615
04/9/2022 05H,47625
04/9/2022 04H,48542
04/9/2022 03H,46204
04/9/2022 02H,44883
04/9/2022 01H,49651
04/9/2022 00H,55527
04/8/2022 23H,58741
04/8/2022 22H,61170
04/8/2022 21H,61717
04/8/2022 20H,60681
04/8/2022 19H,61794
04/8/2022 18H,61650
04/8/2022 17H,60811
04/8/2022 16H,60990
04/8/2022 15H,59932
04/8/2022 14H,61634
04/8/2022 13H,62058
04/8/2022 12H,60171
04/8/2022 11H,59626
04/8/2022 10H,58585
04/8/2022 09H,57231
04/8/2022 08H,57701
04/8/2022 07H,58335
04/8/2022 06H,59619
04/8/2022 05H,60363
04/8/2022 04H,62174
04/8/2022 03H,61031
04/8/2022 02H,62554
04/8/2022 01H,65231
04/8/2022 00H,66580
04/7/2022 23H,67978
04/7/2022 22H,69415
04/7/2022 21H,69184
04/7/2022 20H,69166
