Net generation from natural gas for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NG.H
16:52:15 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NG.H megawatthours
04/16/2022 04H,132872
04/16/2022 03H,142946
04/16/2022 02H,151810
04/16/2022 01H,147872
04/16/2022 00H,141279
04/15/2022 23H,136567
04/15/2022 22H,134171
04/15/2022 21H,130091
04/15/2022 20H,126608
04/15/2022 19H,123766
04/15/2022 18H,121007
04/15/2022 17H,116738
04/15/2022 16H,114206
04/15/2022 15H,118290
04/15/2022 14H,122227
04/15/2022 13H,127635
04/15/2022 12H,125803
04/15/2022 11H,119960
04/15/2022 10H,110385
04/15/2022 09H,103634
04/15/2022 08H,103826
04/15/2022 07H,104777
04/15/2022 06H,111525
04/15/2022 05H,120988
04/15/2022 04H,132185
04/15/2022 03H,144120
04/15/2022 02H,153329
04/15/2022 01H,153157
04/15/2022 00H,151111
04/14/2022 23H,146576
04/14/2022 22H,147390
04/14/2022 21H,145965
04/14/2022 20H,144586
04/14/2022 19H,143289
04/14/2022 18H,141138
04/14/2022 17H,139036
04/14/2022 16H,141425
04/14/2022 15H,146011
04/14/2022 14H,151317
04/14/2022 13H,151334
04/14/2022 12H,147426
04/14/2022 11H,136132
04/14/2022 10H,125555
04/14/2022 09H,119153
04/14/2022 08H,119248
04/14/2022 07H,124202
04/14/2022 06H,132649
04/14/2022 05H,143320
04/14/2022 04H,155594
04/14/2022 03H,172651
04/14/2022 02H,182474
04/14/2022 01H,176388
04/14/2022 00H,167362
04/13/2022 23H,161892
04/13/2022 22H,158985
04/13/2022 21H,153935
04/13/2022 20H,148383
04/13/2022 19H,145273
04/13/2022 18H,142172
04/13/2022 17H,138007
04/13/2022 16H,136231
04/13/2022 15H,136067
04/13/2022 14H,140615
04/13/2022 13H,139035
04/13/2022 12H,134390
04/13/2022 11H,124635
04/13/2022 10H,112399
04/13/2022 09H,105305
04/13/2022 08H,104095
04/13/2022 07H,105309
04/13/2022 06H,111106
04/13/2022 05H,120970
04/13/2022 04H,137181
04/13/2022 03H,144542
04/13/2022 02H,153044
04/13/2022 01H,156178
04/13/2022 00H,155722
04/12/2022 23H,150452
04/12/2022 22H,147964
04/12/2022 21H,143865
04/12/2022 20H,138697
04/12/2022 19H,137787
04/12/2022 18H,132748
04/12/2022 17H,130515
04/12/2022 16H,130926
04/12/2022 15H,132171
04/12/2022 14H,138170
04/12/2022 13H,139632
04/12/2022 12H,136052
04/12/2022 11H,125656
04/12/2022 10H,115383
04/12/2022 09H,109843
04/12/2022 08H,108687
04/12/2022 07H,111172
04/12/2022 06H,118937
04/12/2022 05H,129465
04/12/2022 04H,142348
04/12/2022 03H,162139
04/12/2022 02H,175973
04/12/2022 01H,177005
04/12/2022 00H,171411
04/11/2022 23H,165792
04/11/2022 22H,161401
04/11/2022 21H,154568
04/11/2022 20H,150046
04/11/2022 19H,145531
04/11/2022 18H,142241
04/11/2022 17H,141367
04/11/2022 16H,140072
04/11/2022 15H,142129
04/11/2022 14H,146049
04/11/2022 13H,147887
04/11/2022 12H,144702
04/11/2022 11H,134547
04/11/2022 10H,119730
04/11/2022 09H,109621
04/11/2022 08H,106482
04/11/2022 07H,106213
04/11/2022 06H,110685
04/11/2022 05H,118484
04/11/2022 04H,128983
04/11/2022 03H,136195
04/11/2022 02H,142877
04/11/2022 01H,142857
04/11/2022 00H,134361
04/10/2022 23H,127691
04/10/2022 22H,121124
04/10/2022 21H,113931
04/10/2022 20H,110717
04/10/2022 19H,106159
04/10/2022 18H,102834
04/10/2022 17H,99196
04/10/2022 16H,99538
04/10/2022 15H,101024
04/10/2022 14H,106305
04/10/2022 13H,113573
04/10/2022 12H,115944
04/10/2022 11H,114848
04/10/2022 10H,113337
04/10/2022 09H,111639
04/10/2022 08H,112074
04/10/2022 07H,112476
04/10/2022 06H,112993
04/10/2022 05H,116766
04/10/2022 04H,121699
04/10/2022 03H,129880
04/10/2022 02H,138302
04/10/2022 01H,136044
04/10/2022 00H,128783
04/9/2022 23H,120679
04/9/2022 22H,113141
04/9/2022 21H,109580
04/9/2022 20H,107668
04/9/2022 19H,108974
04/9/2022 18H,109992
04/9/2022 17H,112536
04/9/2022 16H,113663
04/9/2022 15H,119226
