Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
16:50:53 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
04/16/2022 04H,29268
04/16/2022 03H,33074
04/16/2022 02H,35504
04/16/2022 01H,34331
04/16/2022 00H,32839
04/15/2022 23H,30605
04/15/2022 22H,28706
04/15/2022 21H,27761
04/15/2022 20H,26910
04/15/2022 19H,25997
04/15/2022 18H,26368
04/15/2022 17H,27361
04/15/2022 16H,29155
04/15/2022 15H,30463
04/15/2022 14H,32035
04/15/2022 13H,30505
04/15/2022 12H,30213
04/15/2022 11H,25280
04/15/2022 10H,22347
04/15/2022 09H,21252
04/15/2022 08H,21900
04/15/2022 07H,23545
04/15/2022 06H,25704
04/15/2022 05H,28065
04/15/2022 04H,30330
04/15/2022 03H,32266
04/15/2022 02H,33294
04/15/2022 01H,34486
04/15/2022 00H,33158
04/14/2022 23H,31540
04/14/2022 22H,29864
04/14/2022 21H,28316
04/14/2022 20H,29147
04/14/2022 19H,28413
04/14/2022 18H,28685
04/14/2022 17H,30511
04/14/2022 16H,32102
04/14/2022 15H,32734
04/14/2022 14H,33397
04/14/2022 13H,32557
04/14/2022 12H,29055
04/14/2022 11H,26162
04/14/2022 10H,23000
04/14/2022 09H,22094
04/14/2022 08H,22460
04/14/2022 07H,23756
04/14/2022 06H,25034
04/14/2022 05H,28209
04/14/2022 04H,31789
04/14/2022 03H,34310
04/14/2022 02H,36872
04/14/2022 01H,37560
04/14/2022 00H,34994
04/13/2022 23H,32273
04/13/2022 22H,31195
04/13/2022 21H,30311
04/13/2022 20H,29883
04/13/2022 19H,29467
04/13/2022 18H,28550
04/13/2022 17H,29423
04/13/2022 16H,29557
04/13/2022 15H,31057
04/13/2022 14H,32107
04/13/2022 13H,30099
04/13/2022 12H,27764
04/13/2022 11H,24949
04/13/2022 10H,22989
04/13/2022 09H,21538
04/13/2022 08H,22149
04/13/2022 07H,23432
04/13/2022 06H,26093
04/13/2022 05H,28859
04/13/2022 04H,31369
04/13/2022 03H,33543
04/13/2022 02H,36167
04/13/2022 01H,36755
04/13/2022 00H,34944
04/12/2022 23H,32654
04/12/2022 22H,29963
04/12/2022 21H,28359
04/12/2022 20H,27870
04/12/2022 19H,27421
04/12/2022 18H,27760
04/12/2022 17H,28567
04/12/2022 16H,30080
04/12/2022 15H,33337
04/12/2022 14H,34342
04/12/2022 13H,33088
04/12/2022 12H,31761
04/12/2022 11H,28182
04/12/2022 10H,23882
04/12/2022 09H,21973
04/12/2022 08H,22507
04/12/2022 07H,22559
04/12/2022 06H,23645
04/12/2022 05H,26504
04/12/2022 04H,30156
04/12/2022 03H,33195
04/12/2022 02H,36510
04/12/2022 01H,38149
04/12/2022 00H,35493
04/11/2022 23H,32689
04/11/2022 22H,30372
04/11/2022 21H,28358
04/11/2022 20H,26465
04/11/2022 19H,27130
04/11/2022 18H,28178
04/11/2022 17H,29503
04/11/2022 16H,31283
04/11/2022 15H,32892
04/11/2022 14H,33512
04/11/2022 13H,34710
04/11/2022 12H,34258
04/11/2022 11H,30061
04/11/2022 10H,26581
04/11/2022 09H,23534
04/11/2022 08H,23719
04/11/2022 07H,25032
04/11/2022 06H,26771
04/11/2022 05H,28802
04/11/2022 04H,31260
04/11/2022 03H,33797
