Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
17:14:21 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
04/16/2022 04H,8622
04/16/2022 03H,8583
04/16/2022 02H,8026
04/16/2022 01H,7468
04/16/2022 00H,6884
04/15/2022 23H,6774
04/15/2022 22H,6822
04/15/2022 21H,6951
04/15/2022 20H,6959
04/15/2022 19H,7010
04/15/2022 18H,6856
04/15/2022 17H,7025
04/15/2022 16H,7079
04/15/2022 15H,7387
04/15/2022 14H,7367
04/15/2022 13H,7386
04/15/2022 12H,7130
04/15/2022 11H,6864
04/15/2022 10H,6611
04/15/2022 09H,6525
04/15/2022 08H,6543
04/15/2022 07H,6926
04/15/2022 06H,7083
04/15/2022 05H,8154
04/15/2022 04H,8271
04/15/2022 03H,7990
04/15/2022 02H,7826
04/15/2022 01H,7531
04/15/2022 00H,7317
04/14/2022 23H,7121
04/14/2022 22H,7244
04/14/2022 21H,7222
04/14/2022 20H,7206
04/14/2022 19H,7144
04/14/2022 18H,7300
04/14/2022 17H,7588
04/14/2022 16H,7989
04/14/2022 15H,7693
04/14/2022 14H,7551
04/14/2022 13H,7464
04/14/2022 12H,7192
04/14/2022 11H,6884
04/14/2022 10H,6463
04/14/2022 09H,6097
04/14/2022 08H,6215
04/14/2022 07H,6664
04/14/2022 06H,7186
04/14/2022 05H,7843
04/14/2022 04H,7825
04/14/2022 03H,8014
04/14/2022 02H,7885
04/14/2022 01H,7942
04/14/2022 00H,7643
04/13/2022 23H,7442
04/13/2022 22H,7599
04/13/2022 21H,7561
04/13/2022 20H,7497
04/13/2022 19H,7480
04/13/2022 18H,7533
04/13/2022 17H,7481
04/13/2022 16H,7632
04/13/2022 15H,7523
04/13/2022 14H,7361
04/13/2022 13H,7411
04/13/2022 12H,6906
04/13/2022 11H,6439
04/13/2022 10H,6168
04/13/2022 09H,6182
04/13/2022 08H,6269
04/13/2022 07H,6641
04/13/2022 06H,7000
04/13/2022 05H,7606
04/13/2022 04H,8026
04/13/2022 03H,8456
04/13/2022 02H,7978
04/13/2022 01H,7120
04/13/2022 00H,7259
04/12/2022 23H,7218
04/12/2022 22H,7088
04/12/2022 21H,7269
04/12/2022 20H,7429
04/12/2022 19H,7320
04/12/2022 18H,7275
04/12/2022 17H,7381
04/12/2022 16H,7487
04/12/2022 15H,7574
04/12/2022 14H,7504
04/12/2022 13H,7050
04/12/2022 12H,6975
04/12/2022 11H,6828
04/12/2022 10H,6277
04/12/2022 09H,5615
04/12/2022 08H,5466
04/12/2022 07H,5842
04/12/2022 06H,5877
04/12/2022 05H,6619
04/12/2022 04H,7676
04/12/2022 03H,8165
04/12/2022 02H,8109
04/12/2022 01H,7724
04/12/2022 00H,7517
04/11/2022 23H,7403
04/11/2022 22H,7404
04/11/2022 21H,7262
04/11/2022 20H,7267
04/11/2022 19H,7281
04/11/2022 18H,7366
04/11/2022 17H,7347
04/11/2022 16H,7306
04/11/2022 15H,7651
04/11/2022 14H,7508
04/11/2022 13H,7300
04/11/2022 12H,7229
04/11/2022 11H,7108
04/11/2022 10H,6809
04/11/2022 09H,5991
04/11/2022 08H,6184
04/11/2022 07H,6228
04/11/2022 06H,6544
04/11/2022 05H,7245
04/11/2022 04H,7507
04/11/2022 03H,7915
04/11/2022 02H,8077
04/11/2022 01H,6981
04/11/2022 00H,6649
04/10/2022 23H,6438
04/10/2022 22H,6671
04/10/2022 21H,6706
04/10/2022 20H,6674
04/10/2022 19H,6507
04/10/2022 18H,6556
04/10/2022 17H,6291
04/10/2022 16H,6289
04/10/2022 15H,6464
04/10/2022 14H,6306
04/10/2022 13H,6633
04/10/2022 12H,6411
04/10/2022 11H,5972
04/10/2022 10H,5809
04/10/2022 09H,5771
04/10/2022 08H,5709
04/10/2022 07H,6030
04/10/2022 06H,6167
04/10/2022 05H,7148
04/10/2022 04H,7478
04/10/2022 03H,7586
04/10/2022 02H,7570
04/10/2022 01H,7025
04/10/2022 00H,6869
04/9/2022 23H,6698
04/9/2022 22H,6616
04/9/2022 21H,6679
04/9/2022 20H,6771
04/9/2022 19H,6533
04/9/2022 18H,6523
04/9/2022 17H,6567
04/9/2022 16H,6531
04/9/2022 15H,6856
04/9/2022 14H,7062
04/9/2022 13H,6977
04/9/2022 12H,6400
04/9/2022 11H,6015
04/9/2022 10H,5695
04/9/2022 09H,5394
04/9/2022 08H,5620
04/9/2022 07H,5693
04/9/2022 06H,5705
04/9/2022 05H,5952
04/9/2022 04H,6784
04/9/2022 03H,7249
04/9/2022 02H,8529
04/9/2022 01H,7943
04/9/2022 00H,7317
04/8/2022 23H,7619
04/8/2022 22H,7446
04/8/2022 21H,7386
04/8/2022 20H,7227
04/8/2022 19H,7044
04/8/2022 18H,7219
04/8/2022 17H,6925
04/8/2022 16H,7117
04/8/2022 15H,7092
04/8/2022 14H,7194
04/8/2022 13H,7187
04/8/2022 12H,6933
04/8/2022 11H,6935
04/8/2022 10H,6721
04/8/2022 09H,6104
04/8/2022 08H,6254
04/8/2022 07H,6095
04/8/2022 06H,6024
04/8/2022 05H,6282
04/8/2022 04H,7225
04/8/2022 03H,7974
04/8/2022 02H,8076
04/8/2022 01H,7672
04/8/2022 00H,7339
04/7/2022 23H,7415
04/7/2022 22H,7167
04/7/2022 21H,7002
04/7/2022 20H,6867
04/7/2022 19H,6621
04/7/2022 18H,6703
04/7/2022 17H,6912
04/7/2022 16H,7177
04/7/2022 15H,6913
04/7/2022 14H,6866
04/7/2022 13H,6803
04/7/2022 12H,6708
04/7/2022 11H,6613
04/7/2022 10H,6438
04/7/2022 09H,6399
04/7/2022 08H,6426
04/7/2022 07H,6352
04/7/2022 06H,6583
04/7/2022 05H,6944
04/7/2022 04H,7640
04/7/2022 03H,7674
04/7/2022 02H,7714
04/7/2022 01H,8401
04/7/2022 00H,7956
04/6/2022 23H,7847
04/6/2022 22H,7989
04/6/2022 21H,7998
04/6/2022 20H,7788
04/6/2022 19H,7470
04/6/2022 18H,7521
04/6/2022 17H,7435
04/6/2022 16H,7590
04/6/2022 15H,7683
