Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
17:17:50 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
04/16/2022 04H,287
04/16/2022 03H,321
04/16/2022 02H,1664
04/16/2022 01H,10482
04/16/2022 00H,21869
04/15/2022 23H,28423
04/15/2022 22H,33973
04/15/2022 21H,35549
04/15/2022 20H,38270
04/15/2022 19H,39667
04/15/2022 18H,39087
04/15/2022 17H,37707
04/15/2022 16H,35163
04/15/2022 15H,29578
04/15/2022 14H,17256
04/15/2022 13H,8031
04/15/2022 12H,2662
04/15/2022 11H,480
04/15/2022 10H,93
04/15/2022 09H,98
04/15/2022 08H,95
04/15/2022 07H,148
04/15/2022 06H,134
04/15/2022 05H,253
04/15/2022 04H,310
04/15/2022 03H,364
04/15/2022 02H,1763
04/15/2022 01H,10897
04/15/2022 00H,18463
04/14/2022 23H,24857
04/14/2022 22H,28888
04/14/2022 21H,33185
04/14/2022 20H,35822
04/14/2022 19H,38175
04/14/2022 18H,40017
04/14/2022 17H,38686
04/14/2022 16H,101183
04/14/2022 15H,32859
04/14/2022 14H,18348
04/14/2022 13H,6687
04/14/2022 12H,2254
04/14/2022 11H,325
04/14/2022 10H,4
04/14/2022 09H,3
04/14/2022 08H,25
04/14/2022 07H,44
04/14/2022 06H,57
04/14/2022 05H,169
04/14/2022 04H,189
04/14/2022 03H,234
04/14/2022 02H,1886
04/14/2022 01H,13094
04/14/2022 00H,23071
04/13/2022 23H,26271
04/13/2022 22H,31244
04/13/2022 21H,32487
04/13/2022 20H,33846
04/13/2022 19H,34559
04/13/2022 18H,35783
04/13/2022 17H,35841
04/13/2022 16H,35087
04/13/2022 15H,27344
04/13/2022 14H,14305
04/13/2022 13H,5536
04/13/2022 12H,2015
04/13/2022 11H,227
04/13/2022 10H,14
04/13/2022 09H,8
04/13/2022 08H,1
04/13/2022 07H,46
04/13/2022 06H,109
04/13/2022 05H,198
04/13/2022 04H,262
04/13/2022 03H,313
04/13/2022 02H,1870
04/13/2022 01H,10921
04/13/2022 00H,15074
04/12/2022 23H,81227
04/12/2022 22H,26269
04/12/2022 21H,29766
04/12/2022 20H,32090
04/12/2022 19H,34579
04/12/2022 18H,34823
04/12/2022 17H,34112
04/12/2022 16H,32651
04/12/2022 15H,26076
04/12/2022 14H,13688
04/12/2022 13H,5597
04/12/2022 12H,1409
04/12/2022 11H,264
04/12/2022 10H,90
04/12/2022 09H,90
04/12/2022 08H,84
04/12/2022 07H,63
04/12/2022 06H,69
04/12/2022 05H,134
04/12/2022 04H,234
04/12/2022 03H,285
04/12/2022 02H,1189
04/12/2022 01H,10251
04/12/2022 00H,21706
04/11/2022 23H,28261
04/11/2022 22H,32893
04/11/2022 21H,36541
04/11/2022 20H,39305
04/11/2022 19H,41180
04/11/2022 18H,40656
04/11/2022 17H,39854
04/11/2022 16H,38409
04/11/2022 15H,31991
